t,object
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.3,bldg_6
694.31,bldg_6
694.31,bldg_6
694.31,bldg_6
694.31,bldg_6
694.31,bldg_6
694.31,bldg_6
694.31,bldg_6
694.31,bldg_6
694.31,bldg_6
694.31,bldg_6
694.31,bldg_6
694.31,bldg_6
694.31,bldg_6
694.31,bldg_6
694.31,bldg_6
694.31,bldg_6
694.31,bldg_6
694.31,bldg_6
694.31,bldg_6
694.31,bldg_6
694.31,bldg_6
694.31,bldg_6
694.31,bldg_6
694.31,bldg_6
694.31,bldg_6
694.31,bldg_6
694.31,bldg_6
694.31,bldg_6
694.31,bldg_6
694.31,bldg_6
694.31,bldg_6
694.31,bldg_6
